[
[15,7,6,9,4,4,8],
[15,9,4,7,6,4,8],
[15,9,7,7,4,6,4],
[15,9,8,9,2,5,5],
[15,10,5,8,6,2,6],
[15,10,5,9,5,3,5],
[15,11,3,12,2,2,11],
[15,12,2,11,3,2,11],
[15,12,5,6,5,5,5],
[15,12,11,4,2,3,2],
[30,14,12,17,9,7,17],
[30,14,13,18,7,9,15],
[30,15,13,14,13,3,22],
[30,15,13,23,4,12,13],
[30,16,11,18,9,5,18],
[30,16,11,20,7,7,16],
[30,16,13,15,11,3,22],
[30,16,13,18,7,7,15],
[30,16,15,14,11,3,18],
[30,16,15,16,11,3,12],
[30,16,15,18,9,5,10],
[30,16,15,20,5,9,12],
[30,17,9,14,12,7,17],
[30,17,9,18,8,11,13],
[30,17,10,18,9,4,21],
[30,17,10,22,5,8,17],
[30,17,12,19,8,5,15],
[30,17,12,23,4,9,15],
[30,17,13,18,10,3,13],
[30,17,13,19,9,4,12],
[30,17,14,13,12,3,18],
[30,17,14,15,9,12,7],
[30,17,14,15,13,8,3],
[30,17,14,17,8,5,14],
[30,17,14,20,5,10,11],
[30,17,15,14,9,4,17],
[30,17,15,16,9,4,13],
[30,17,15,17,8,5,12],
[30,17,15,18,5,8,13],
[30,17,16,13,8,5,16],
[30,17,16,15,7,12,7],
[30,17,16,15,11,8,3],
[30,17,16,16,5,8,13],
[30,17,17,12,10,3,17],
[30,17,17,12,10,17,3],
[30,17,17,18,4,9,11],
[30,17,17,18,4,11,9],
[30,18,8,17,9,11,13],
[30,18,9,16,11,5,18],
[30,18,9,17,10,4,21],
[30,18,9,20,7,9,14],
[30,18,9,22,5,9,16],
[30,18,13,14,13,3,12],
[30,18,13,15,9,11,8],
[30,18,13,15,13,7,4],
[30,18,13,18,9,7,8],
[30,18,14,13,9,13,7],
[30,18,16,11,11,3,17],
[30,18,16,11,11,17,3],
[30,18,17,15,5,11,8],
[30,18,17,15,9,7,4],
[30,19,8,13,12,9,15],
[30,19,11,16,12,3,13],
[30,19,11,19,9,6,10],
[30,19,13,13,9,12,8],
[30,19,14,11,10,5,16],
[30,19,14,15,7,10,9],
[30,19,14,15,8,3,18],
[30,19,14,15,11,6,5],
[30,19,14,16,5,10,11],
[30,19,14,19,4,7,14],
[30,19,15,14,9,2,19],
[30,19,15,16,9,2,11],
[30,19,15,17,8,3,10],
[30,19,15,20,3,8,13],
[30,19,16,12,9,12,5],
[30,19,16,14,7,10,7],
[30,19,16,15,5,10,9],
[30,19,16,15,8,3,12],
[30,19,16,15,9,6,5],
[30,19,16,16,7,4,11],
[30,20,7,16,11,7,16],
[30,20,7,18,9,9,14],
[30,20,9,14,11,7,15],
[30,20,9,16,11,5,15],
[30,20,11,14,11,5,14],
[30,20,11,14,13,5,10],
[30,20,11,16,11,7,8],
[30,20,11,17,8,8,11],
